id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_account_account_personnel,account_account personnel,account.model_account_account,pod_prescription_team.group_prescription_personnel,1,0,0,0
access_account_analytic_account_personnel,account_analytic_account personnel,analytic.model_account_analytic_account,pod_prescription_team.group_prescription_personnel,1,1,1,0
access_account_account_tag_prescription_personnel,account.account.tag.prescription.personnel,account.model_account_account_tag,pod_prescription_team.group_prescription_personnel,1,0,0,0
access_account_move_send_personnel,access.account.move.send.personnel,account.model_account_move_send,pod_prescription_team.group_prescription_personnel,1,1,1,0
access_prescription_account_journal,account.journal prescription order.user,account.model_account_journal,pod_prescription_team.group_prescription_personnel,1,0,0,0
access_account_move_personnel,account_move personnel,account.model_account_move,pod_prescription_team.group_prescription_personnel,1,0,0,0
access_account_move_line_personnel,account_move_line personnel,account.model_account_move_line,pod_prescription_team.group_prescription_personnel,1,0,0,0
access_account_partial_reconcile_personnel,account_partial_reconcile personnel,account.model_account_partial_reconcile,pod_prescription_team.group_prescription_personnel,1,0,0,0
access_account_payment_term_personnel,account_payment_term personnel,account.model_account_payment_term,pod_prescription_team.group_prescription_personnel,1,0,0,0
access_account_tax_user,account.tax.user,account.model_account_tax,pod_prescription_team.group_prescription_personnel,1,0,0,0
access_account_tax_group_prescription_manager,account.tax.group prescription manager,account.model_account_tax_group,pod_prescription_team.group_prescription_personnel,1,0,0,0

access_res_partner_prescription_user,res.partner.prescription.user,base.model_res_partner,pod_prescription_team.group_prescription_personnel,1,0,0,0
access_res_partner_prescription_manager,res.partner.prescription.manager,base.model_res_partner,pod_prescription_team.group_prescription_manager,1,1,1,0

access_mail_activity_type_prescription_manager,mail.activity.type.prescription.manager,mail.model_mail_activity_type,pod_prescription_team.group_prescription_manager,1,1,1,1

access_product_category_prescription_manager,product.category prescriptionmanager,product.model_product_category,pod_prescription_team.group_prescription_manager,1,1,1,1
access_product_pricelist_prescription_user,product.pricelist.prescription.user,product.model_product_pricelist,pod_prescription_team.group_prescription_personnel,1,0,0,0
access_product_pricelist_prescription_manager,product.pricelist prescriptionmanager,product.model_product_pricelist,pod_prescription_team.group_prescription_manager,1,1,1,1
access_product_pricelist_item_prescription_manager,product.pricelist.item prescriptionmanager,product.model_product_pricelist_item,pod_prescription_team.group_prescription_manager,1,1,1,1
access_product_attribute_prescription_manager,product.attribute manager,product.model_product_attribute,pod_prescription_team.group_prescription_manager,1,1,1,1
access_product_attribute_value_prescription_manager,product.attribute manager value,product.model_product_attribute_value,pod_prescription_team.group_prescription_manager,1,1,1,1
access_product_product_attribute_prescription_manager,product.template.attribute manager value,product.model_product_template_attribute_value,pod_prescription_team.group_prescription_manager,1,1,1,1
access_product_product_attribute_custom_value_prescription_user,product.attribute.custom value personnel,product.model_product_attribute_custom_value,pod_prescription_team.group_prescription_personnel,1,1,1,1
access_product_supplierinfo_user,product.supplierinfo.user,product.model_product_supplierinfo,pod_prescription_team.group_prescription_personnel,1,0,0,0
access_product_supplierinfo_prescription_manager,product.supplierinfo prescriptionmanager,product.model_product_supplierinfo,pod_prescription_team.group_prescription_manager,1,1,1,1
access_product_template_attribute_exclusion_prescription_manager,product.attribute manager filter line,product.model_product_template_attribute_exclusion,pod_prescription_team.group_prescription_manager,1,1,1,1
access_product_template_attribute_line_prescription_manager,product.attribute manager line,product.model_product_template_attribute_line,pod_prescription_team.group_prescription_manager,1,1,1,1
access_product_tag_prescription_manager,product.tag.prescription.manager,product.model_product_tag,pod_prescription_team.group_prescription_manager,1,1,1,1
access_product_product_prescription_user,product.product prescription use,product.model_product_product,pod_prescription_team.group_prescription_personnel,1,0,0,0
access_product_product_prescription_manager,product.product prescriptionmanager,model_product_product,pod_prescription_team.group_prescription_manager,1,1,1,1
access_product_template_prescription_user,product.template prescription use,product.model_product_template,pod_prescription_team.group_prescription_personnel,1,0,0,0
access_product_template_prescription_manager,product.template prescriptionmanager,model_product_template,pod_prescription_team.group_prescription_manager,1,1,1,1

access_uom_uom_user,uom.uom.user,uom.model_uom_uom,pod_prescription_team.group_prescription_personnel,1,0,0,0
access_uom_category_prescription_manager,uom.category prescriptionmanager,uom.model_uom_category,pod_prescription_team.group_prescription_manager,1,1,1,1
access_uom_uom_prescription_manager,uom.uom prescriptionmanager,uom.model_uom_uom,pod_prescription_team.group_prescription_manager,1,1,1,1

access_prescription_order_portal,prescription.order.portal,pod_prescription.model_prescription_order,base.group_portal,1,0,0,0
access_prescription_order_readonly,prescription.order.accountant,model_prescription_order,account.group_account_readonly,1,0,0,0
access_prescription_order_invoicing_payments,prescription.order,model_prescription_order,account.group_account_invoice,1,1,0,0
access_prescription_order_accountant,prescription.order.accountant,model_prescription_order,account.group_account_user,1,1,0,0
access_prescription_order,prescription.order,model_prescription_order,pod_prescription_team.group_prescription_personnel,1,1,1,0
access_prescription_order_manager,prescription.order.manager,model_prescription_order,pod_prescription_team.group_prescription_manager,1,1,1,1

access_prescription_order_line_portal,prescription.order.line.portal,pod_prescription.model_prescription_order_line,base.group_portal,1,0,0,0
access_prescription_order_line_readonly,prescription.order.line accountant,model_prescription_order_line,account.group_account_readonly,1,0,0,0
access_prescription_order_line_invoicing_payments,prescription.order.line,model_prescription_order_line,account.group_account_invoice,1,1,0,0
access_prescription_order_line_accountant,prescription.order.line accountant,model_prescription_order_line,account.group_account_user,1,1,0,0
access_prescription_order_line,prescription.order.line,model_prescription_order_line,pod_prescription_team.group_prescription_personnel,1,1,1,1
access_prescription_report_personnel,prescription.report,model_prescription_report,pod_prescription_team.group_prescription_personnel,1,0,0,0

access_customer_product_preferences,customer.product.preferences,model_customer_product_preference,pod_prescription_team.group_prescription_personnel,1,1,1,1

access_prescription_barcode,prescription.barcode,model_prescription_order_line,pod_prescription_team.group_prescription_personnel,1,1,1,1
access_sales_barcode,sales.barcode,model_sale_order_line,,1,1,1,1

access_payment_link_wizard_prescription,access.payment.link.wizard.prescription,payment.model_payment_link_wizard,pod_prescription_team.group_prescription_personnel,1,1,1,0
access_prescription_payment_provider_onboarding_wizard,access.prescription.payment.provider.onboarding.wizard,model_prescription_payment_provider_onboarding_wizard,base.group_system,1,1,1,0
access_prescription_advance_payment_inv,access.prescription.advance.payment.inv,model_prescription_advance_payment_inv,pod_prescription_team.group_prescription_personnel,1,1,1,0
access_prescription_order_cancel,access.prescription.order.cancel,model_prescription_order_cancel,pod_prescription_team.group_prescription_personnel,1,1,1,0
access_prescription_mass_cancel_orders,access.prescription.mass.cancel.orders,model_prescription_mass_cancel_orders,pod_prescription_team.group_prescription_personnel,1,1,1,0
access_prescription_order_discount,access_prescription_order_discount,model_prescription_order_discount,pod_prescription_team.group_prescription_personnel,1,1,1,0
access_mail_activity_plan_prescription_manager,mail.activity.plan.prescription.manager,mail.model_mail_activity_plan,pod_prescription_team.group_prescription_manager,1,1,1,1
access_mail_activity_plan_template_prescription_manager,mail.activity.plan.template.prescription.manager,mail.model_mail_activity_plan_template,pod_prescription_team.group_prescription_manager,1,1,1,1

access_creating_wizard,access_creating_wizard,pod_prescription.model_creating_wizard,,1,1,1,1
access_another_one_two_many,access_another_one_two_many,pod_prescription.model_another_one_two_many,,1,1,1,1
