id,name,species_id/id
beagle,Beagle,practice.dog
boxer,Boxer,practice.dog
bull_terrier,Bull Terrier,practice.dog
bulldog,Bulldog,practice.dog
chihuahua,Chihuahua,practice.dog
cocker,Cocker,practice.dog
collie,Collie,practice.dog
dalmatian,Dalmatian,practice.dog
dachshund,Dachshund,practice.dog
doberman,Doberman,practice.dog
english_cocker_spaniel,English Cocker Spaniel,practice.dog
french_bulldog,French Bulldog,practice.dog
german_shepard,German Shepard,practice.dog
golden_retriever,Golden Retriever,practice.dog
great_dane,Great Dane,practice.dog
jack_russell,Jack Russell,practice.dog
labrador,Labrador,practice.dog
pomeranian,Pomeranian,practice.dog
pug,Pug,practice.dog
rottweiler,Rottweiler,practice.dog
schnauzer,Schnauzer,practice.dog
shih_tzu,Shih Tzu,practice.dog
siberian_husky,Siberian Husky,practice.dog
yorkshire_terrier,Yorkshire Terrier,practice.dog
